created_at,id,name,entry_id,temperature
2025-03-06 07:24:38 UTC,1598577,Proteus P2,6409,23.12500
2025-03-06 07:24:51 UTC,1598577,Proteus P2,6418,22.87500
2025-03-06 07:25:05 UTC,1598577,Proteus P2,6428,22.62500
2025-03-06 07:25:18 UTC,1598577,Proteus P2,6437,22.37500
2025-03-06 07:25:31 UTC,1598577,Proteus P2,6446,22.18750
2025-03-06 07:25:44 UTC,1598577,Proteus P2,6455,26.56250
2025-03-06 07:25:59 UTC,1598577,Proteus P2,6465,29.62500
2025-03-06 07:26:12 UTC,1598577,Proteus P2,6474,30.62500
2025-03-06 07:26:25 UTC,1598577,Proteus P2,6483,31.18750
2025-03-06 07:26:41 UTC,1598577,Proteus P2,6494,30.50000
2025-03-06 07:26:56 UTC,1598577,Proteus P2,6504,29.31250
2025-03-06 07:27:10 UTC,1598577,Proteus P2,6514,30.50000
2025-03-06 07:27:24 UTC,1598577,Proteus P2,6524,30.25000
2025-03-06 07:27:38 UTC,1598577,Proteus P2,6534,29.50000
2025-03-06 07:27:53 UTC,1598577,Proteus P2,6544,28.87500
2025-03-06 07:28:07 UTC,1598577,Proteus P2,6554,28.75000
2025-03-06 07:28:21 UTC,1598577,Proteus P2,6564,30.25000
2025-03-06 07:28:36 UTC,1598577,Proteus P2,6574,31.37500
2025-03-06 07:28:49 UTC,1598577,Proteus P2,6583,31.87500
2025-03-06 07:29:04 UTC,1598577,Proteus P2,6593,32.06250
2025-03-06 07:29:18 UTC,1598577,Proteus P2,6603,32.18750
2025-03-06 07:29:33 UTC,1598577,Proteus P2,6613,32.18750
2025-03-06 07:29:46 UTC,1598577,Proteus P2,6622,32.18750
2025-03-06 07:30:01 UTC,1598577,Proteus P2,6632,32.12500
2025-03-06 07:30:15 UTC,1598577,Proteus P2,6642,32.12500
2025-03-06 07:30:30 UTC,1598577,Proteus P2,6652,32.00000
2025-03-06 07:30:45 UTC,1598577,Proteus P2,6662,31.93750
2025-03-06 07:30:59 UTC,1598577,Proteus P2,6672,31.93750
2025-03-06 07:31:12 UTC,1598577,Proteus P2,6681,31.87500
2025-03-06 07:31:27 UTC,1598577,Proteus P2,6691,31.87500
